timestamp,open,high,low,close,volume,delta,cvd_open,cvd_high,cvd_low,cvd_close,ema_8,ema_9,ema_13,ema_21,ema_22,ema_50,ema_100,ema_200,cvd_ema_8,cvd_ema_9,cvd_ema_13,cvd_ema_21,cvd_ema_22,cvd_ema_50,cvd_ema_100,cvd_ema_200
2025-07-14 13:30:00+00:00,6294.25,6296.5,6291.25,6292.0,10422,-1212,-23,856,-1214,-1212,6292.0,6292.0,6292.0,6292.0,6292.0,6292.0,6292.0,6292.0,-1212.0,-1212.0,-1212.0,-1212.0,-1212.0,-1212.0,-1212.0,-1212.0
2025-07-14 13:31:00+00:00,6292.0,6296.0,6290.25,6291.25,7610,-108,-1210,-269,-1348,-1320,6291.833333333333,6291.85,6291.892857142858,6291.931818181818,6291.934782608696,6291.970588235295,6291.985148514851,6291.992537313433,-1236.0,-1233.6000000000001,-1227.4285714285716,-1221.8181818181818,-1221.3913043478262,-1216.235294117647,-1214.1386138613861,-1213.0746268656717
2025-07-14 13:32:00+00:00,6291.25,6293.0,6290.25,6292.5,3015,199,-1322,-1070,-1337,-1121,6291.981481481481,6291.9800000000005,6291.979591836735,6291.98347107438,6291.98393194707,6291.99134948097,6291.995343593765,6291.997586693399,-1210.4444444444443,-1211.0800000000002,-1212.2244897959185,-1212.6528925619834,-1212.661625708885,-1212.5005767012688,-1212.294284874032,-1212.1584614242222
2025-07-14 13:33:00+00:00,6293.0,6295.5,6292.75,6293.5,3098,72,-1118,-808,-1118,-1049,6292.318930041151,6292.284000000001,6292.196793002917,6292.121337340345,6292.115763951673,6292.050512246422,6292.025138770126,6292.012536079535,-1174.567901234568,-1178.6640000000002,-1188.9067055393589,-1197.7753568745304,-1198.430179995069,-1206.0887893796505,-1209.0607346785066,-1210.5349941463694
2025-07-14 13:34:00+00:00,6293.5,6293.75,6289.25,6290.0,3089,-931,-1032,-1010,-1998,-1980,6291.803612254229,6291.827200000001,6291.882965431072,6291.928488491223,6291.931784477615,6291.970100001465,6291.985037012302,6291.992510844912,-1353.5528120713307,-1338.9312000000002,-1301.9200333194506,-1268.886688067755,-1266.3927730389762,-1236.4382486196641,-1224.3268587442788,-1218.1913623638186
2025-07-14 13:35:00+00:00,6290.25,6291.25,6287.5,6291.25,4492,-290,-1973,-1943,-2717,-2270,6291.680587308845,6291.711760000001,6291.792541798062,6291.866807719293,6291.872498870866,6291.9418607857215,6291.97048182394,6291.985122677302,-1557.2077427221461,-1525.1449600000003,-1440.217171416672,-1359.8969891525044,-1353.662966687761,-1276.9700820071282,-1245.0332575810257,-1228.6571199522384
2025-07-14 13:36:00+00:00,6291.25,6294.5,6290.5,6293.75,3529,717,-2269,-1518,-2341,-1553,6292.140456795769,6292.119408000001,6292.072178684054,6292.038007017539,6292.035759838617,6292.012768205889,6292.005719807624,6292.002683645687,-1556.2726887838915,-1530.7159680000004,-1456.3290040714332,-1377.4518083204584,-1370.9966217583906,-1287.7947846735153,-1251.1316089160548,-1231.8844122910223
2025-07-14 13:37:00+00:00,6293.75,6294.0,6291.75,6292.0,2515,-15,-1547,-1410,-1625,-1568,6292.109244174487,6292.095526400001,6292.061867443475,6292.034551834126,6292.032650287433,6292.012267491933,6292.005606544107,6292.0026569427455,-1558.8787579430266,-1538.1727744000004,-1472.2820034898,-1394.7743712004167,-1388.1273503011394,-1298.7832244902402,-1257.4062305216773,-1235.2288459995693
2025-07-14 13:38:00+00:00,6292.0,6292.75,6291.0,6291.75,2113,-251,-1570,-1561,-1845,-1819,6292.029412135712,6292.026421120001,6292.01731495155,6292.008683485569,6292.008072001569,6292.001982492249,6292.000545028382,6292.000142943315,-1616.6834784001317,-1594.3382195200004,-1521.8131458484002,-1433.340337454924,-1425.5945372314752,-1319.183882353368,-1268.5268992242184,-1241.0375141985787
2025-07-14 13:39:00+00:00,6291.75,6293.0,6290.0,6292.75,2216,-226,-1822,-1813,-2185,-2045,6292.18954277222,6292.171136896001,6292.121984244186,6292.076075895972,6292.072587479694,6292.0313165121615,6292.015385720889,6292.007604207561,-1711.864927644547,-1684.4705756160004,-1596.5541250129145,-1488.9457613226582,-1479.4558818200426,-1347.6472595159812,-1283.9026041900754,-1249.037140922971
2025-07-14 13:40:00+00:00,6292.75,6293.75,6289.75,6290.5,2136,-246,-2047,-1897,-2329,-2291,6291.814088822838,6291.836909516802,6291.890272209303,6291.932796269066,6291.93584074233,6291.971264884234,6291.985378082852,6291.99260317067,-1840.5616103902032,-1805.7764604928004,-1695.7606785824983,-1561.8597830205983,-1550.0249355748215,-1384.6414846330015,-1303.8451268793808,-1259.4049305655285
2025-07-14 13:41:00+00:00,6290.25,6291.0,6288.75,6289.5,2441,-125,-2292,-2192,-2514,-2416,6291.299846862207,6291.369527613442,6291.548804750832,6291.711632971877,6291.724028503867,6291.874352535833,6291.936162675271,6291.967801149071,-1968.4368080812692,-1927.8211683942404,-1798.65201021357,-1639.5088936550894,-1625.3271150900546,-1425.086916608178,-1325.8679956540466,-1270.913339216618
2025-07-14 13:42:00+00:00,6289.5,6289.75,6283.5,6284.0,5770,-1740,-2415,-2399,-4239,-4156,6289.6776586706055,6289.895622090754,6290.470404072142,6291.010575428979,6291.0523738513575,6291.565554397173,6291.779010939126,6291.888519545599,-2454.5619618409874,-2373.4569347153924,-2135.4160087544888,-1868.2808124137175,-1845.3856268213542,-1532.181547329426,-1381.9102135618873,-1299.6206691746615
2025-07-14 13:43:00+00:00,6283.75,6283.75,6280.25,6283.75,8544,232,-4160,-3919,-4729,-3924,6288.360401188249,6288.666497672603,6289.510346347551,6290.350523117253,6290.417384820805,6291.259062067873,6291.6200206235,6291.807539251613,-2781.1037480985456,-2683.565547772314,-2390.9280075038478,-2055.1643749215614,-2026.134702749932,-1625.9783493949387,-1432.248625174523,-1325.7338963470531
2025-07-14 13:44:00+00:00,6283.5,6285.25,6281.5,6281.75,4058,-62,-3940,-3514,-4006,-3986,6286.891423146416,6287.283198138083,6288.401725440758,6289.568657379321,6289.663699184213,6290.886157673054,6291.424574670559,6291.707464234184,-3048.8584707433133,-2944.0524382178514,-2618.7954350032983,-2230.6948862923286,-2196.5577720760252,-1718.5282180461177,-1482.817959329483,-1352.2042058361371
2025-07-14 13:45:00+00:00,6281.75,6286.0,6280.25,6285.25,6108,-40,-3983,-3974,-4695,-4026,6286.526662447212,6286.8765585104675,6287.951478949221,6289.1760521630185,6289.279899255152,6290.665131881954,6291.302305865202,6291.64321085872,-3266.001032800355,-3160.4419505742812,-2819.824658574256,-2393.904442083935,-2355.63970493898,-1809.0173075345053,-1533.1779997388003,-1378.8091391113994
2025-07-14 13:46:00+00:00,6285.5,6285.75,6282.75,6285.0,2921,-255,-4016,-4016,-4385,-4281,6286.18740412561,6286.501246808374,6287.529839099333,6288.796411057289,6288.90773410253,6290.442969847368,6291.177507729257,6291.577109258135,-3491.5563588447203,-3384.553560459425,-3028.563993063648,-2565.4585837126683,-2523.062339292112,-1905.9578052782504,-1587.5903165756556,-1407.6866601152662
2025-07-14 13:47:00+00:00,6284.75,6288.75,6283.75,6288.5,4236,806,-4275,-3339,-4393,-3475,6286.701314319918,6286.9009974467,6287.668433513714,6288.769464597535,6288.87227896318,6290.3667749513925,6291.124487774222,6291.546491255567,-3487.877167990338,-3402.6428483675404,-3092.340565483127,-2648.1441670115164,-2605.8395271797544,-1967.488871737927,-1624.9647657523753,-1428.2569421041692
2025-07-14 13:48:00+00:00,6288.25,6292.75,6288.0,6292.5,4839,853,-3477,-2527,-3499,-2622,6287.989911137714,6288.020797957361,6288.35865729747,6289.108604179577,6289.187732966382,6290.450430835652,6291.151725640078,6291.555978904766,-3295.4600195480407,-3246.5142786940323,-3025.149056128395,-2645.7674245559238,-2607.244785685863,-1993.1559748070279,-1644.7080377176749,-1440.134982481242
2025-07-14 13:49:00+00:00,6292.5,6294.75,6292.25,6294.25,4189,965,-2619,-1626,-2620,-1657,6289.381041996,6289.266638365889,6289.200277683546,6289.576003799615,6289.62793009974,6290.599433547979,6291.213077607602,6291.582785084818,-2931.3577929818093,-2928.611422955226,-2829.699190967196,-2555.8794768690213,-2524.614804321875,-1979.9733875596935,-1644.9514429113842,-1442.2928433520756
2025-07-14 13:50:00+00:00,6294.5,6296.5,6293.5,6294.5,3961,557,-1656,-834,-1656,-1100,6290.518588219111,6290.313310692712,6289.957380871611,6290.023639817832,6290.051588351937,6290.752396938255,6291.278165179729,6291.6118120988995,-2524.3893945414075,-2562.889138364181,-2582.5993065433113,-2423.5267971536555,-2400.7352561199727,-1945.464627263235,-1634.1603252299706,-1438.886944413249
2025-07-14 13:51:00+00:00,6294.5,6297.25,6294.5,6297.25,3054,790,-1101,-309,-1148,-310,6292.014457503753,6291.70064855417,6290.999183604238,6290.680581652575,6290.6775371909,6291.007204901461,6291.3964193345855,6291.66791347105,-2032.3028624210947,-2112.3113106913447,-2257.94226275141,-2231.387997412414,-2218.93219037041,-1881.3287595274219,-1607.9393286907632,-1427.6542384986894
2025-07-14 13:52:00+00:00,6297.25,6297.25,6293.5,6294.0,3564,-738,-309,-295,-1123,-1048,6292.455689169586,6292.160518843336,6291.427871660776,6290.982346956886,6290.966447000387,6291.124569415129,6291.447975387366,6291.691118312135,-1813.5688929941848,-1899.449048553076,-2085.093368072637,-2123.8072703749217,-2117.1119999034177,-1848.649200330268,-1596.8514211919362,-1423.8765843842748
2025-07-14 13:53:00+00:00,6294.0,6294.25,6291.5,6293.5,3228,-326,-1021,-1020,-1653,-1374,6292.687758243011,6292.428415074669,6291.723889994952,6291.21122450626,6291.1867559568755,6291.217723555713,6291.488609538111,6291.7091171349,-1715.8869167732548,-1794.3592388424609,-1983.5086012051177,-2055.6429730681107,-2052.4935651292076,-1830.0355061996693,-1592.4385217623928,-1423.3802999625407
2025-07-14 13:54:00+00:00,6293.5,6295.0,6293.25,6294.75,1385,327,-1375,-1042,-1376,-1047,6293.146034189008,6292.892732059736,6292.156191424245,6291.532931369327,6291.496603264974,6291.356244200587,6291.553191527455,6291.739374675847,-1567.2453797125315,-1644.8873910739687,-1849.7216581758153,-1963.948157334646,-1965.059342074494,-1799.328231446741,-1581.6377589552167,-1419.6352223509732
2025-07-14 13:55:00+00:00,6294.5,6295.0,6290.25,6291.25,2753,-753,-1048,-1017,-1872,-1800,6292.724693258117,6292.564185647789,6292.026735506496,6291.507210335752,6291.475159502802,6291.3520777613485,6291.547187734832,6291.7345052760875,-1618.9686286653023,-1675.9099128591752,-1842.6185641506988,-1949.0437793951328,-1950.7063558071468,-1799.3545753115748,-1585.9617637283807,-1423.419946506685
2025-07-14 13:56:00+00:00,6291.25,6292.25,6289.5,6291.25,2799,-351,-1799,-1675,-2302,-2151,6292.396983645202,6292.301348518231,6291.915773291283,6291.483827577956,6291.4555804156025,6291.348074711884,6291.541302829191,6291.729684328067,-1737.197822295235,-1770.9279302873404,-1886.6730549863134,-1967.4034358137571,-1968.1231944326123,-1813.144591966023,-1597.1506396941552,-1430.6595490290065
2025-07-14 13:57:00+00:00,6291.5,6291.5,6288.5,6288.5,1828,-432,-2135,-1990,-2589,-2583,6291.5309872796015,6291.5410788145855,6291.427805678242,6291.212570525414,6291.198573422942,6291.236385507496,6291.481079010791,6291.697548165599,-1925.153861785183,-1933.3423442298724,-1986.1483328454117,-2023.3667598306884,-2021.59074274282,-1843.3350001242181,-1616.672409205162,-1442.1256231680213
2025-07-14 13:58:00+00:00,6288.25,6290.25,6287.5,6289.5,2718,142,-2585,-2363,-2918,-2441,6291.079656773023,6291.132863051669,6291.152404867065,6291.05688229583,6291.0508713861645,6291.168291958183,6291.441849723449,6291.6756820146975,-2039.7863369440313,-2034.8738753838982,-2051.1271424389242,-2061.3334180278985,-2058.061112939097,-1866.7728432566018,-1632.9957278347626,-1452.0646716937126
2025-07-14 13:59:00+00:00,6289.5,6290.25,6288.25,6289.0,1722,36,-2436,-2192,-2453,-2405,6290.617510823462,6290.706290441336,6290.844918457485,6290.869892996209,6290.872534743889,6291.083260900999,6291.3934962635785,6291.649058313059,-2120.944928734247,-2108.8991003071187,-2101.680407804792,-2092.575834570817,-2088.229711813958,-1887.8797905798724,-1648.2829411449654,-1461.5466152589495
2025-07-14 14:00:00+00:00,6289.25,6291.0,6287.75,6288.5,3231,331,-2368,-1879,-2391,-2074,6290.146952862693,6290.265032353069,6290.509930106416,6290.654448178372,6290.666227374856,6290.981956551941,6291.336199307864,6291.617724399496,-2110.5127223488585,-2101.919280245695,-2097.7260638326793,-2090.887122337106,-2086.9923455692665,-1895.1786223218382,-1656.712981914372,-1467.6406787887113
2025-07-14 14:01:00+00:00,6288.5,6288.5,6285.75,6286.75,3837,-523,-2073,-2073,-2768,-2597,6289.392074448761,6289.562025882456,6289.972797234071,6290.299498343975,6290.325685864,6290.815997471473,6291.245383479985,6291.569289330845,-2218.6210062713344,-2200.935424196556,-2169.0509118565824,-2136.8973839428236,-2131.3408372588956,-1922.7010292896093,-1675.3325268269587,-1478.8780849699183
2025-07-14 14:02:00+00:00,6286.75,6289.75,6286.25,6289.0,2571,589,-2599,-1907,-2606,-2008,6289.304946793481,6289.449620705965,6289.833826200632,6290.181362130886,6290.210408832348,6290.744781884357,6291.200920440778,6291.543724262877,-2171.816338211038,-2162.348339357245,-2146.043638734214,-2125.1794399480214,-2120.61554706247,-1926.0460869645267,-1681.9200015432564,-1484.1429796468346
2025-07-14 14:03:00+00:00,6289.0,6289.5,6287.75,6288.75,1326,-34,-1999,-1858,-2046,-2042,6289.181625283818,6289.309696564772,6289.678993886257,6290.051238300805,6290.08341675997,6290.666555143794,6291.152387362742,6291.515926011505,-2142.9682630530297,-2138.278671485796,-2131.1802617721833,-2117.6176726800195,-2113.779412535299,-1930.5932992404278,-1689.0502985423998,-1489.693795769752
2025-07-14 14:04:00+00:00,6288.75,6291.0,6288.5,6291.0,2331,497,-2043,-1545,-2045,-1545,6289.585708554081,6289.647757251818,6289.867709045363,6290.137489364368,6290.163119650408,6290.679631412665,6291.149369791203,6291.510792419351,-2010.086426819023,-2019.622937188637,-2047.4402243761572,-2065.5615206181997,-2064.3203331844034,-1915.471993387862,-1686.1978173831444,-1490.2441062596051
2025-07-14 14:05:00+00:00,6291.0,6291.0,6288.25,6288.5,2277,61,-1535,-1307,-1601,-1484,6289.3444399865075,6289.418205801455,6289.672322038883,6289.98862669488,6290.018500550373,6290.594155670992,6291.09690702306,6291.480834285825,-1893.1783319703513,-1912.4983497509097,-1966.948763750992,-2012.6922914710906,-2013.8576955161946,-1898.5515230589265,-1682.1939002072406,-1490.181975849062
2025-07-14 14:06:00+00:00,6288.5,6290.5,6287.75,6290.25,1457,-97,-1485,-1480,-1654,-1581,6289.545675545061,6289.584564641164,6289.7548474619,6290.012387904436,6290.038630937297,6290.580659370169,6291.08013658696,6291.468587178504,-1823.8053693102734,-1846.1986798007279,-1911.813226072279,-1973.4475377009915,-1976.2178959060907,-1886.0985221546548,-1680.1900605991764,-1491.085637780912
