ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,delta,cvd
2025-05-07 22:00:00+00:00,0,1,42003627,T,N,0,5645.75,24,0,16127,211599278,MESM5,0,0
2025-05-07 22:00:00.021218431+00:00,0,1,42003627,T,A,0,5645.25,2,0,11504,211599460,MESM5,-2,-2
2025-05-07 22:00:00.021218431+00:00,0,1,42003627,T,A,0,5645.0,4,0,11858,211599461,MESM5,-4,-6
2025-05-07 22:00:00.023156969+00:00,0,1,42003627,T,A,0,5644.75,1,0,12091,211599526,MESM5,-1,-7
2025-05-07 22:00:00.023743251+00:00,0,1,42003627,T,A,0,5644.5,2,0,13971,211599555,MESM5,-2,-9
2025-05-07 22:00:00.023743251+00:00,0,1,42003627,T,A,0,5644.25,2,0,13192,211599556,MESM5,-2,-11
2025-05-07 22:00:00.024256559+00:00,0,1,42003627,T,A,0,5644.0,5,0,14290,211599577,MESM5,-5,-16
2025-05-07 22:00:00.024256559+00:00,0,1,42003627,T,A,0,5643.75,1,0,13881,211599578,MESM5,-1,-17
2025-05-07 22:00:00.024844599+00:00,0,1,42003627,T,A,0,5643.75,1,0,13873,211599600,MESM5,-1,-18
2025-05-07 22:00:00.029085793+00:00,0,1,42003627,T,A,0,5643.5,3,0,13994,211599703,MESM5,-3,-21
2025-05-07 22:00:00.029429801+00:00,0,1,42003627,T,A,0,5643.25,2,0,14143,211599718,MESM5,-2,-23
2025-05-07 22:00:00.030927335+00:00,0,1,42003627,T,A,0,5642.75,1,0,13678,211599769,MESM5,-1,-24
2025-05-07 22:00:00.030927335+00:00,0,1,42003627,T,A,0,5642.25,1,0,13202,211599770,MESM5,-1,-25
2025-05-07 22:00:00.040463849+00:00,0,1,42003627,T,B,0,5642.5,1,0,13515,211600064,MESM5,1,-24
2025-05-07 22:00:00.055451035+00:00,0,1,42003627,T,A,0,5642.0,5,0,13523,211600257,MESM5,-5,-29
2025-05-07 22:00:00.055697801+00:00,0,1,42003627,T,A,0,5641.75,2,0,14078,211600268,MESM5,-2,-31
2025-05-07 22:00:00.057058231+00:00,0,1,42003627,T,A,0,5641.5,1,0,14580,211600294,MESM5,-1,-32
2025-05-07 22:00:00.057058231+00:00,0,1,42003627,T,A,0,5641.25,5,0,14580,211600294,MESM5,-5,-37
2025-05-07 22:00:00.057058231+00:00,0,1,42003627,T,A,0,5641.25,2,0,12088,211600295,MESM5,-2,-39
2025-05-07 22:00:00.062019651+00:00,0,1,42003627,T,B,0,5641.75,2,0,13982,211600333,MESM5,2,-37
2025-05-07 22:00:00.062518637+00:00,0,1,42003627,T,B,0,5641.75,1,0,13709,211600335,MESM5,1,-36
2025-05-07 22:00:00.071682303+00:00,0,1,42003627,T,A,0,5641.0,1,0,13609,211600369,MESM5,-1,-37
2025-05-07 22:00:00.071682303+00:00,0,1,42003627,T,A,0,5640.75,1,0,11638,211600370,MESM5,-1,-38
